uri,type,topConceptOf,inScheme,prefLabel,notation,definition,variabele,drager,Parameter Drager Omschrijving,waardebepaling,Parameter Soort Waardebepaling Omschrijving,Parameter Soort Waardebepaling Type Code,Parameter Soort Waardebepaling Type Omschrijving
P_1187,par:Parameter,conceptscheme:parameter,conceptscheme:parameter,Mangaan,Mn t,"Mangaan, totaal",https://data.omgeving.vlaanderen.be/id/concept/chemische_stof/PWHULOQIROXLJO-UHFFFAOYSA-N,dr:DR_2,Waterbodem,wb:SWB_4,totaal per droge stof,DS,per droge stof
P_806,par:Parameter,conceptscheme:parameter,conceptscheme:parameter,Trichlooretheen,TCEe,Trichlooretheen,https://data.omgeving.vlaanderen.be/id/concept/chemische_stof/XSTXAVWGXDQKEL-UHFFFAOYSA-N,dr:DR_1,Waterstaal,wb:SWB_1,standaard,,
P_803,par:Parameter,conceptscheme:parameter,conceptscheme:parameter,Tetrachloormethaan,TtCMa,Tetrachloormethaan,https://data.omgeving.vlaanderen.be/id/concept/chemische_stof/VZGDMQKNWNREIO-UHFFFAOYSA-N,dr:DR_2,Waterbodem,wb:SWB_9,standaard per droge stof,DS,per droge stof
P_412,par:Parameter,conceptscheme:parameter,conceptscheme:parameter,Barium,Ba o,"Barium, opgelost",https://data.omgeving.vlaanderen.be/id/concept/chemische_stof/DSAJWYNOEDNPEQ-UHFFFAOYSA-N,dr:DR_1,Waterstaal,wb:SWB_2,opgelost,,
P_2299,par:Parameter,conceptscheme:parameter,conceptscheme:parameter,Strontium,Sr o,"Strontium, opgelost",https://data.omgeving.vlaanderen.be/id/concept/chemische_stof/CIOAGBVUUVVLOB-UHFFFAOYSA-N,dr:DR_1,Waterstaal,wb:SWB_2,opgelost,,
wb:SWB_24,par:Waardebepaling,conceptscheme:waardebepaling,conceptscheme:waardebepaling,vrij per droge stof,SWB_24,,,,,,,,
wb:SWB_67,par:Waardebepaling,conceptscheme:waardebepaling,conceptscheme:waardebepaling,MUCd project totaal,SWB_67,,,,,,,,
wb:SWB_65,par:Waardebepaling,conceptscheme:waardebepaling,conceptscheme:waardebepaling,MUCd project,SWB_65,,,,,,,,
wb:SWB_17,par:Waardebepaling,conceptscheme:waardebepaling,conceptscheme:waardebepaling,anorganisch totaal,SWB_17,,,,,,,,
wb:SWB_9,par:Waardebepaling,conceptscheme:waardebepaling,conceptscheme:waardebepaling,standaard per droge stof,SWB_9,,,,,,,,
wb:SWB_34,par:Waardebepaling,conceptscheme:waardebepaling,conceptscheme:waardebepaling,LC50 (24h),SWB_34,,,,,,,,
wb:SWB_40,par:Waardebepaling,conceptscheme:waardebepaling,conceptscheme:waardebepaling,standaard deviatie,SWB_40,,,,,,,,
wb:SWB_42,par:Waardebepaling,conceptscheme:waardebepaling,conceptscheme:waardebepaling,organisch niet purgeerbaar,SWB_42,,,,,,,,
wb:SWB_74,par:Waardebepaling,conceptscheme:waardebepaling,conceptscheme:waardebepaling,totaal gefiltreerd,SWB_74,,,,,,,,
wb:SWB_12,par:Waardebepaling,conceptscheme:waardebepaling,conceptscheme:waardebepaling,na Zahn Wellens,SWB_12,,,,,,,,
wb:SWB_51,par:Waardebepaling,conceptscheme:waardebepaling,conceptscheme:waardebepaling,vluchtig,SWB_51,,,,,,,,
wb:SWB_3,par:Waardebepaling,conceptscheme:waardebepaling,conceptscheme:waardebepaling,totaal,SWB_3,,,,,,,,
wb:SWB_20,par:Waardebepaling,conceptscheme:waardebepaling,conceptscheme:waardebepaling,chloor oxydeerbaar per droge stof,SWB_20,,,,,,,,
wb:SWB_64,par:Waardebepaling,conceptscheme:waardebepaling,conceptscheme:waardebepaling,MUC project,SWB_64,,,,,,,,
wb:SWB_10,par:Waardebepaling,conceptscheme:waardebepaling,conceptscheme:waardebepaling,standaard per nat gewicht,SWB_10,,,,,,,,
wb:SWB_37,par:Waardebepaling,conceptscheme:waardebepaling,conceptscheme:waardebepaling,LC50 (30m),SWB_37,,,,,,,,
wb:SWB_55,par:Waardebepaling,conceptscheme:waardebepaling,conceptscheme:waardebepaling,48h,SWB_55,,,,,,,,
wb:SWB_45,par:Waardebepaling,conceptscheme:waardebepaling,conceptscheme:waardebepaling,organisch niet vluchtig opgelost,SWB_45,,,,,,,,
wb:SWB_8,par:Waardebepaling,conceptscheme:waardebepaling,conceptscheme:waardebepaling,multi opgelost,SWB_8,,,,,,,,
wb:SWB_75,par:Waardebepaling,conceptscheme:waardebepaling,conceptscheme:waardebepaling,LC-MS,SWB_75,,,,,,,,
wb:SWB_30,par:Waardebepaling,conceptscheme:waardebepaling,conceptscheme:waardebepaling,EC50 (48h),SWB_30,,,,,,,,
wb:SWB_31,par:Waardebepaling,conceptscheme:waardebepaling,conceptscheme:waardebepaling,EC50 (30m),SWB_31,,,,,,,,
wb:SWB_72,par:Waardebepaling,conceptscheme:waardebepaling,conceptscheme:waardebepaling,waterdamp vluchtig,SWB_72,,,,,,,,
wb:SWB_80,par:Waardebepaling,conceptscheme:waardebepaling,conceptscheme:waardebepaling,organisch totaal per droge stof,SWB_80,,,,,,,,
wb:SWB_13,par:Waardebepaling,conceptscheme:waardebepaling,conceptscheme:waardebepaling,chloor oxydeerbaar,SWB_13,,,,,,,,
wb:SWB_23,par:Waardebepaling,conceptscheme:waardebepaling,conceptscheme:waardebepaling,niet-chloor oxydeerbaar per droge stof,SWB_23,,,,,,,,
wb:SWB_73,par:Waardebepaling,conceptscheme:waardebepaling,conceptscheme:waardebepaling,anorganisch gefiltreerd,SWB_73,,,,,,,,
wb:SWB_59,par:Waardebepaling,conceptscheme:waardebepaling,conceptscheme:waardebepaling,96h,SWB_59,,,,,,,,
wb:SWB_50,par:Waardebepaling,conceptscheme:waardebepaling,conceptscheme:waardebepaling,purgeerbaar,SWB_50,,,,,,,,
wb:SWB_22,par:Waardebepaling,conceptscheme:waardebepaling,conceptscheme:waardebepaling,vrijstelbaar in zwak zuur per droge stof,SWB_22,,,,,,,,
wb:SWB_7,par:Waardebepaling,conceptscheme:waardebepaling,conceptscheme:waardebepaling,multi totaal,SWB_7,,,,,,,,
wb:SWB_41,par:Waardebepaling,conceptscheme:waardebepaling,conceptscheme:waardebepaling,pesticiden sampler,SWB_41,,,,,,,,
wb:SWB_53,par:Waardebepaling,conceptscheme:waardebepaling,conceptscheme:waardebepaling,anorganisch opgelost,SWB_53,,,,,,,,
wb:SWB_43,par:Waardebepaling,conceptscheme:waardebepaling,conceptscheme:waardebepaling,organisch opgelost,SWB_43,,,,,,,,
wb:SWB_26,par:Waardebepaling,conceptscheme:waardebepaling,conceptscheme:waardebepaling,totaal incl. oxiden,SWB_26,,,,,,,,
wb:SWB_5,par:Waardebepaling,conceptscheme:waardebepaling,conceptscheme:waardebepaling,gefilterd,SWB_5,,,,,,,,
wb:SWB_63,par:Waardebepaling,conceptscheme:waardebepaling,conceptscheme:waardebepaling,"0,5h bac lum-inh na Zahn Wellens",SWB_63,,,,,,,,
wb:Onbekend,par:Waardebepaling,conceptscheme:waardebepaling,conceptscheme:waardebepaling,Onbekend,Onbekend,,,,,,,,
wb:SWB_56,par:Waardebepaling,conceptscheme:waardebepaling,conceptscheme:waardebepaling,48h na Zahn Wellens,SWB_56,,,,,,,,
wb:SWB_21,par:Waardebepaling,conceptscheme:waardebepaling,conceptscheme:waardebepaling,ontbindbare per droge stof,SWB_21,,,,,,,,
wb:SWB_61,par:Waardebepaling,conceptscheme:waardebepaling,conceptscheme:waardebepaling,72h na Zahn Wellens,SWB_61,,,,,,,,
wb:SWB_68,par:Waardebepaling,conceptscheme:waardebepaling,conceptscheme:waardebepaling,MUC project opgelost,SWB_68,,,,,,,,
wb:SWB_44,par:Waardebepaling,conceptscheme:waardebepaling,conceptscheme:waardebepaling,organisch niet vluchtig totaal,SWB_44,,,,,,,,
wb:SWB_54,par:Waardebepaling,conceptscheme:waardebepaling,conceptscheme:waardebepaling,opgelost na 120h,SWB_54,,,,,,,,
wb:SWB_18,par:Waardebepaling,conceptscheme:waardebepaling,conceptscheme:waardebepaling,organisch gefiltreerd,SWB_18,,,,,,,,
wb:SWB_2,par:Waardebepaling,conceptscheme:waardebepaling,conceptscheme:waardebepaling,opgelost,SWB_2,,,,,,,,
wb:SWB_39,par:Waardebepaling,conceptscheme:waardebepaling,conceptscheme:waardebepaling,warm,SWB_39,,,,,,,,
wb:SWB_35,par:Waardebepaling,conceptscheme:waardebepaling,conceptscheme:waardebepaling,LC50 (48h),SWB_35,,,,,,,,
wb:SWB_27,par:Waardebepaling,conceptscheme:waardebepaling,conceptscheme:waardebepaling,groei-inhibitie,SWB_27,,,,,,,,
wb:SWB_77,par:Waardebepaling,conceptscheme:waardebepaling,conceptscheme:waardebepaling,metalen,SWB_77,,,,,,,,
wb:SWB_11,par:Waardebepaling,conceptscheme:waardebepaling,conceptscheme:waardebepaling,totaal na Zahn Wellens,SWB_11,,,,,,,,
wb:SWB_25,par:Waardebepaling,conceptscheme:waardebepaling,conceptscheme:waardebepaling,organisch,SWB_25,,,,,,,,
wb:SWB_15,par:Waardebepaling,conceptscheme:waardebepaling,conceptscheme:waardebepaling,ontbindbare,SWB_15,,,,,,,,
wb:SWB_36,par:Waardebepaling,conceptscheme:waardebepaling,conceptscheme:waardebepaling,LC50 (96h),SWB_36,,,,,,,,
wb:SWB_48,par:Waardebepaling,conceptscheme:waardebepaling,conceptscheme:waardebepaling,adsorbeerbaar,SWB_48,,,,,,,,
wb:SWB_29,par:Waardebepaling,conceptscheme:waardebepaling,conceptscheme:waardebepaling,EC50 (24h),SWB_29,,,,,,,,
wb:SWB_62,par:Waardebepaling,conceptscheme:waardebepaling,conceptscheme:waardebepaling,96h na Zahn Wellens,SWB_62,,,,,,,,
wb:SWB_47,par:Waardebepaling,conceptscheme:waardebepaling,conceptscheme:waardebepaling,organisch niet purgeerbaar MUCd-project,SWB_47,,,,,,,,
wb:SWB_66,par:Waardebepaling,conceptscheme:waardebepaling,conceptscheme:waardebepaling,MUC project totaal,SWB_66,,,,,,,,
wb:SWB_70,par:Waardebepaling,conceptscheme:waardebepaling,conceptscheme:waardebepaling,verzadiging,SWB_70,,,,,,,,
wb:SWB_81,par:Waardebepaling,conceptscheme:waardebepaling,conceptscheme:waardebepaling,anorganisch per nat gewicht,SWB_81,,,,,,,,
wb:SWB_4,par:Waardebepaling,conceptscheme:waardebepaling,conceptscheme:waardebepaling,totaal per droge stof,SWB_4,,,,,,,,
wb:SWB_33,par:Waardebepaling,conceptscheme:waardebepaling,conceptscheme:waardebepaling,EC50 (96h),SWB_33,,,,,,,,
wb:SWB_32,par:Waardebepaling,conceptscheme:waardebepaling,conceptscheme:waardebepaling,EC50 (72h),SWB_32,,,,,,,,
wb:SWB_57,par:Waardebepaling,conceptscheme:waardebepaling,conceptscheme:waardebepaling,24h,SWB_57,,,,,,,,
wb:SWB_46,par:Waardebepaling,conceptscheme:waardebepaling,conceptscheme:waardebepaling,organisch niet purgeerbaar MUC-project,SWB_46,,,,,,,,
wb:SWB_6,par:Waardebepaling,conceptscheme:waardebepaling,conceptscheme:waardebepaling,totaal per nat gewicht,SWB_6,,,,,,,,
wb:SWB_76,par:Waardebepaling,conceptscheme:waardebepaling,conceptscheme:waardebepaling,GC-MS,SWB_76,,,,,,,,
wb:SWB_58,par:Waardebepaling,conceptscheme:waardebepaling,conceptscheme:waardebepaling,72h,SWB_58,,,,,,,,
wb:SWB_16,par:Waardebepaling,conceptscheme:waardebepaling,conceptscheme:waardebepaling,vrij,SWB_16,,,,,,,,
wb:SWB_79,par:Waardebepaling,conceptscheme:waardebepaling,conceptscheme:waardebepaling,extraheerbaar per droge stof,SWB_79,,,,,,,,
wb:SWB_19,par:Waardebepaling,conceptscheme:waardebepaling,conceptscheme:waardebepaling,organisch totaal,SWB_19,,,,,,,,
wb:SWB_49,par:Waardebepaling,conceptscheme:waardebepaling,conceptscheme:waardebepaling,extraheerbaar,SWB_49,,,,,,,,
wb:SWB_28,par:Waardebepaling,conceptscheme:waardebepaling,conceptscheme:waardebepaling,kiem-inhibitie,SWB_28,,,,,,,,
wb:SWB_1,par:Waardebepaling,conceptscheme:waardebepaling,conceptscheme:waardebepaling,standaard,SWB_1,,,,,,,,
wb:SWB_60,par:Waardebepaling,conceptscheme:waardebepaling,conceptscheme:waardebepaling,"0,5h bac luminiscentie-inhibitie",SWB_60,,,,,,,,
wb:SWB_71,par:Waardebepaling,conceptscheme:waardebepaling,conceptscheme:waardebepaling,opgelost na Zahn Wellens,SWB_71,,,,,,,,
wb:SWB_14,par:Waardebepaling,conceptscheme:waardebepaling,conceptscheme:waardebepaling,niet-chloor oxydeerbaar,SWB_14,,,,,,,,
wb:SWB_38,par:Waardebepaling,conceptscheme:waardebepaling,conceptscheme:waardebepaling,LC50 (72h),SWB_38,,,,,,,,
wb:SWB_69,par:Waardebepaling,conceptscheme:waardebepaling,conceptscheme:waardebepaling,MUCd project opgelost,SWB_69,,,,,,,,
dr:DR_2,par:Drager,conceptscheme:drager,conceptscheme:drager,Waterbodem,DR_2,,,,,,,,
dr:DR_3,par:Drager,conceptscheme:drager,conceptscheme:drager,Biota,DR_3,,,,,,,,
dr:DR_1,par:Drager,conceptscheme:drager,conceptscheme:drager,Waterstaal,DR_1,,,,,,,,
