uri,type,topConceptOf,inScheme,prefLabel,notation,definition,variabele,drager,Parameter Drager Omschrijving,waardebepaling,Parameter Soort Waardebepaling Omschrijving,Parameter Soort Waardebepaling Type Code,Parameter Soort Waardebepaling Type Omschrijving
P_277,par:Parameter,conceptscheme:parameter,conceptscheme:parameter,Polyaromatische KWS (16 EPA),PAK 16,Polyaromatische KWS (16 EPA),https://data.omgeving.vlaanderen.be/id/concept/sommatie_stoffen/pak_16,dr:DR_2,Waterbodem,wb:SWB_9,standaard per droge stof,DS,per droge stof
P_707,par:Parameter,conceptscheme:parameter,conceptscheme:parameter,"1,2-Dichloorbenzeen",12CBz,"1,2-Dichloorbenzeen",https://data.omgeving.vlaanderen.be/id/concept/chemische_stof/RFFLAFLAYFXFSW-UHFFFAOYSA-N,dr:DR_2,Waterbodem,wb:SWB_9,standaard per droge stof,DS,per droge stof
P_408,par:Parameter,conceptscheme:parameter,conceptscheme:parameter,Arseen,As o,"Arseen, opgelost",https://data.omgeving.vlaanderen.be/id/concept/chemische_stof/RQNWIZPPADIBDY-UHFFFAOYSA-N,dr:DR_1,Waterstaal,wb:SWB_2,opgelost,,
P_434,par:Parameter,conceptscheme:parameter,conceptscheme:parameter,Ijzer,Fe o,"Ijzer, opgelost",https://data.omgeving.vlaanderen.be/id/concept/chemische_stof/XEEYBQQBJWHFJM-UHFFFAOYSA-N,dr:DR_1,Waterstaal,wb:SWB_2,opgelost,,
P_1849,par:Parameter,conceptscheme:parameter,conceptscheme:parameter,Calcium,Ca mt,"Calcium, multi totaal",https://data.omgeving.vlaanderen.be/id/concept/chemische_stof/OYPRJOBELJOOCE-UHFFFAOYSA-N,dr:DR_1,Waterstaal,wb:SWB_7,multi totaal,,
P_754,par:Parameter,conceptscheme:parameter,conceptscheme:parameter,"2,4-Dichloorfenol",24CFol,"2,4-Dichloorfenol",https://data.omgeving.vlaanderen.be/id/concept/chemische_stof/HFZWRUODUSTPEG-UHFFFAOYSA-N,dr:DR_2,Waterbodem,wb:SWB_9,standaard per droge stof,DS,per droge stof
P_1,par:Parameter,conceptscheme:parameter,conceptscheme:parameter,alfa+beta Endosulfan,a+bEndoS,alfa+beta Endosulfan,https://data.omgeving.vlaanderen.be/id/concept/chemische_stof/RDYMFSUJUZBWLH-UHFFFAOYSA-N,dr:DR_1,Waterstaal,wb:SWB_1,standaard,,
P_438,par:Parameter,conceptscheme:parameter,conceptscheme:parameter,Koper,Cu o,"Koper, opgelost",https://data.omgeving.vlaanderen.be/id/concept/chemische_stof/RYGMFSIKBFXOCR-UHFFFAOYSA-N,dr:DR_1,Waterstaal,wb:SWB_2,opgelost,,
P_476,par:Parameter,conceptscheme:parameter,conceptscheme:parameter,Vanadium,V o,"Vanadium, opgelost",https://data.omgeving.vlaanderen.be/id/concept/chemische_stof/LEONUFNNVUYDNQ-UHFFFAOYSA-N,dr:DR_1,Waterstaal,wb:SWB_2,opgelost,,
P_469,par:Parameter,conceptscheme:parameter,conceptscheme:parameter,Tin,Sn t,"Tin, totaal",https://data.omgeving.vlaanderen.be/id/concept/chemische_stof/ATJFFYVFTNAWJD-UHFFFAOYSA-N,dr:DR_1,Waterstaal,wb:SWB_3,totaal,,
P_709,par:Parameter,conceptscheme:parameter,conceptscheme:parameter,"1,2-Dichloorethaan",12CEa,"1,2-Dichloorethaan",https://data.omgeving.vlaanderen.be/id/concept/chemische_stof/WSLDOOZREJYCGB-UHFFFAOYSA-N,dr:DR_2,Waterbodem,wb:SWB_9,standaard per droge stof,DS,per droge stof
P_1370,par:Parameter,conceptscheme:parameter,conceptscheme:parameter,Chloordecon,Cdecon,Chloordecon,https://data.omgeving.vlaanderen.be/id/concept/chemische_stof/LHHGDZSESBACKH-UHFFFAOYSA-N,dr:DR_1,Waterstaal,wb:SWB_1,standaard,,
P_1015,par:Parameter,conceptscheme:parameter,conceptscheme:parameter,Uranium,U o,"Uranium, opgelost",https://data.omgeving.vlaanderen.be/id/concept/chemische_stof/JFALSRSLKYAFGM-UHFFFAOYSA-N,dr:DR_1,Waterstaal,wb:SWB_2,opgelost,,
P_1991,par:Parameter,conceptscheme:parameter,conceptscheme:parameter,Ijzer,MUCd-Fe t,"Ijzer, MUCd project totaal",https://data.omgeving.vlaanderen.be/id/concept/chemische_stof/XEEYBQQBJWHFJM-UHFFFAOYSA-N,dr:DR_1,Waterstaal,wb:SWB_67,MUCd project totaal,,
P_870,par:Parameter,conceptscheme:parameter,conceptscheme:parameter,Vinylchloride,VinCl,Vinylchloride,https://data.omgeving.vlaanderen.be/id/concept/chemische_stof/BZHJMEDXRYGGRV-UHFFFAOYSA-N,dr:DR_1,Waterstaal,wb:SWB_1,standaard,,
P_471,par:Parameter,conceptscheme:parameter,conceptscheme:parameter,Titaan,Ti,Titaan,https://data.omgeving.vlaanderen.be/id/concept/chemische_stof/RTAQQCXQSZGOHL-UHFFFAOYSA-N,dr:DR_1,Waterstaal,wb:SWB_1,standaard,,
